id;nota;id_estado_alumno_analitico;id_alumno_estab_oferta;id_materia;id_mes_imp;id_ano_imp;establecimiento_imp
1;81996;79332;55031;41568;46104;20159;embrace
2;47133;28262;21020;2125;14860;20086;Account 1080p
3;26673;1718;40860;57296;85290;93623;Moda
4;25846;12172;75630;4562;30649;32763;Bricolaje
5;95587;92542;98705;72531;24094;71134;Hormigon e-services productividad
6;2241;28764;8776;60912;91682;29017;bluetooth Refinado
7;13892;67016;90921;28787;19297;28138;Berkshire transmitting
8;52394;61150;35026;86220;42952;6497;Malagasy Parque
9;77131;12922;66038;76955;70452;71341;Blanco
10;82708;35747;45542;96323;61198;44287;Credit terciaria
