id;id_ser;id_oferta_educativa;id_alumno;id_estado_alumno_estab_oferta;fecha_inicio;fecha_fin
1;28740;82879;60745;58792;2022-06-05T23:16:16;2022-06-05T23:52:54
2;17822;16452;65251;87826;2022-06-05T18:22:00;2022-06-06T03:50:55
3;45022;73153;855;80062;2022-06-06T04:50:58;2022-06-05T23:14:14
4;66754;86456;19502;26759;2022-06-05T17:33:34;2022-06-05T16:54:50
5;10620;43449;24314;1624;2022-06-06T03:29:25;2022-06-06T10:41:48
6;9691;75814;17733;85411;2022-06-06T00:18:46;2022-06-05T15:12:54
7;81738;16580;1504;42933;2022-06-06T00:23:54;2022-06-05T22:17:33
8;68991;64544;70294;82599;2022-06-06T04:26:40;2022-06-06T09:07:24
9;33662;14797;52786;98162;2022-06-06T09:00:49;2022-06-05T20:48:47
10;51396;66797;44666;95230;2022-06-06T11:40:02;2022-06-06T01:00:41
