id;id_materia_denominacion;marca_modulo;carga_horaria;id_oferta_educativa;id_seccion;id_tipo_materia_opcional;orden;id_area;id_asignatira;codigos_chequeados;obligatoriedad;unidad_carga_pedagogica
1;15790;invoice;72853;15938;75090;56797;35353;20931;9241;38306;79597;58787
2;75914;la Joyería Gris;71663;1946;94302;43403;37042;37150;55578;49136;77947;34426
3;8410;Producto navigating el;83807;38383;91668;72403;93703;74103;40500;70062;3707;24683
4;72225;connect COM Ingeniero;50934;51518;84022;16267;2389;37617;7629;96358;45727;22001
5;192;contenido 24/7 Tácticas;99979;68416;46039;22989;30611;4250;40911;85470;63152;75028
6;50596;revolutionary IB;81674;55871;49108;89789;65674;17118;97438;26257;72866;49383
7;95842;Pescado;82952;35761;19423;89846;24759;72712;47254;13006;75041;79091
8;45650;Especialista Borders systems;18580;6797;37184;8151;64503;56528;18667;1164;98972;77180
9;59358;RAM grow Contabilidad;31786;7828;18984;97557;85784;52609;29007;59286;85570;67076
10;44128;Gerente Metal;92645;92826;28480;27575;85655;98039;1436;6147;92027;14207
