id;nro_serie_inicio;nro_serie_fin;fecha_inicio;fecha_fin;usuario_alta;usuario_modificacion;serie
1;64776;25379;2022-06-06;2022-06-06;Cataluña Negro;arquitectura bleeding-edge;39256
2;54699;70215;2022-06-05;2022-06-05;payment Genérico;compress;64239
3;32703;52907;2022-06-06;2022-06-06;Berkshire;web-readiness withdrawal;72680
4;20512;80614;2022-06-06;2022-06-06;calculate;Central Práctico;9855
5;86522;78213;2022-06-06;2022-06-06;Adelante inteligencia mano;matrix end-to-end Global;59791
6;64306;99012;2022-06-06;2022-06-06;Identidad Genérico;Increible Interno moderador;87652
7;33194;17586;2022-06-06;2022-06-06;Cantabria Universal;empower;68668
8;86500;12834;2022-06-06;2022-06-06;Inversor XML;Mobilidad Datos;19770
9;81479;55100;2022-06-06;2022-06-05;Canadian;haptic Cataluña Guapa;76049
10;28173;73828;2022-06-06;2022-06-06;Nauru Comunicaciones SMTP;seize SMS;74805
