id;id_modalidad;id_nivel;id_orientacion;id_titulo_denominacion;observiaciones;id_tipo_titulo;id_user;fecha_inicio;fecha_fin;fecha_estado;id_estado_oferta;id_ley_educacion;id_norma_aprobacion_den;id_norma_dictamen_den;id_se_corresponde_con;titulo;titulo_impresion;titulo_intermedio;titulo_intermedio_impresion;orientacion;id_rama;id_seccion_titulo_intermedio;id_curso_grupo_nombre;correlatividad;id_modalidad_dictado;titula;ciclo_basico
1;75407;28075;74101;97993;Granito;96895;46656;2022-06-05T18:11:11;2022-06-05T23:57:44;2022-06-05T17:16:40;37022;56253;58761;48952;90372;hacking India up;Amarillo;firewall;navigate Verde;Granito;30876;89015;30412;37882;75820;64354;66706
2;27663;44107;89693;17414;Metal synergize Bedfordshire;68919;99498;2022-06-06T01:06:11;2022-06-06T08:12:51;2022-06-05T18:13:44;89369;26699;38445;80053;8562;Savings Productor Granito;Eslovenia deposit;Hormigon hack;Reducido Azul;Asturias haptic;61129;84980;32270;78266;9546;19449;46065
3;26486;45127;11394;70669;Violeta;98554;37110;2022-06-05T14:51:59;2022-06-05T17:16:42;2022-06-06T06:42:28;61980;50268;69527;53330;5413;Aplicaciones Rioja Jefe;Bicicleta Rupee convergence;Gourde Andalucía revolutionary;Cataluña;XSS;13830;15794;37073;75423;79362;72450;42272
4;51797;96468;92233;58471;País;87257;46398;2022-06-06T11:28:55;2022-06-06T05:38:09;2022-06-06T08:26:41;45286;46411;60555;94320;5448;innovate Coche array;Loan Hormigon;Savings Integración copying;applications Ensalada panel;Galicia payment matrix;24438;82059;53006;50807;97896;55020;60320
5;13414;91000;24045;13128;mesh previsión Alemania;22032;40590;2022-06-06T06:35:07;2022-06-06T09:44:08;2022-06-06T12:02:15;62512;97491;71241;13468;37091;Malasia;Plástico;ejecutiva TCP;Diseñador;EXE;33169;4843;6517;79234;5178;98872;27135
6;61703;93100;15793;3367;Savings invoice;24700;46616;2022-06-06T08:34:22;2022-06-06T01:22:29;2022-06-05T16:22:12;75985;9230;10413;20145;96385;Salud;Increible Monitorizado Plástico;user-centric Cambridgeshire;Ordenador;Account Loan interfaces;44871;56211;36721;52324;56024;81103;7294
7;32322;12944;8972;23233;División;47518;23901;2022-06-05T18:16:01;2022-06-06T00:28:08;2022-06-06T13:22:22;99601;69660;23871;71738;34818;Factores;quantifying bypassing;Chad;portals;Hormigon;54924;61641;3867;65648;13737;33497;23987
8;34900;77345;20643;35045;Artesanal Artesanal;87141;71545;2022-06-06T10:43:52;2022-06-05T19:38:43;2022-06-05T23:59:36;57643;65568;79437;29461;52908;online global Ramal;Pequeño Camino circuito;logística Aragón;Plástico compress Camino;AGP;54111;58582;11141;43551;55418;89524;18634
9;72638;46386;67289;73255;definición navigating;45984;29786;2022-06-05T17:45:11;2022-06-05T19:22:13;2022-06-06T09:53:40;71107;74119;10742;65315;59051;experiences functionalities Madera;Director cutting-edge;Bacon monitorizar;Profundo Identidad Analista;expedite Teclado panel;90653;45982;90834;50458;69001;32945;32506
10;12180;89442;63763;68029;bypass Informática;11427;15645;2022-06-05T21:03:52;2022-06-06T09:14:21;2022-06-05T21:14:13;19157;31785;21583;38837;22423;navigate;Global Pollo mobile;Cedi;users Innovador EXE;RSS HTTP frictionless;89490;29723;91235;89371;32869;91046;50220
